"avg-wealth","50000000",,,,,,,,,,,,,,,,,,,"100000000",,,,,,,,,,,,,,,,,,,"200000000",,,,,,,,,,,,,,,,,,,"300000000",,,,,,,,,,,,,,,,,,,"400000000",,,,,,,,,,,,,,,,,,,"500000000",,,,,,,,,,,,,,,,,,
"average-node-degree","8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,
"SE3","0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,
"TA1","0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,
"top-down-success-reach-treshold","0.65",,,,,,,,,,,,,,,,,,,"0.65",,,,,,,,,,,,,,,,,,,"0.65",,,,,,,,,,,,,,,,,,,"0.65",,,,,,,,,,,,,,,,,,,"0.65",,,,,,,,,,,,,,,,,,,"0.65",,,,,,,,,,,,,,,,,,
"TA2","0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,
"spotlight-innitial-adopter","0.5",,,,,,,,,,,,,,,,,,,"0.5",,,,,,,,,,,,,,,,,,,"0.5",,,,,,,,,,,,,,,,,,,"0.5",,,,,,,,,,,,,,,,,,,"0.5",,,,,,,,,,,,,,,,,,,"0.5",,,,,,,,,,,,,,,,,,
"std-wealth","1000000",,,,,,,,,,,,,,,,,,,"1000000",,,,,,,,,,,,,,,,,,,"1000000",,,,,,,,,,,,,,,,,,,"1000000",,,,,,,,,,,,,,,,,,,"1000000",,,,,,,,,,,,,,,,,,,"1000000",,,,,,,,,,,,,,,,,,
"TA3","0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,
"std-attack","5",,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,
"attacks-memory-len","40",,,,,,,,,,,,,,,,,,,"40",,,,,,,,,,,,,,,,,,,"40",,,,,,,,,,,,,,,,,,,"40",,,,,,,,,,,,,,,,,,,"40",,,,,,,,,,,,,,,,,,,"40",,,,,,,,,,,,,,,,,,
"scenario","Baseline",,,,,,,,,,,,,,,,,,,"Baseline",,,,,,,,,,,,,,,,,,,"Baseline",,,,,,,,,,,,,,,,,,,"Baseline",,,,,,,,,,,,,,,,,,,"Baseline",,,,,,,,,,,,,,,,,,,"Baseline",,,,,,,,,,,,,,,,,,
"mean-attack","20",,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,,
"SE1","0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,
"[reporter]","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score"
"[final]","0.32297334463078914","0.5010311211098611","0.4","49","28","22","1","7.005845719291158E10","7.010111490224782E10","70.59655255512612","0.004","0.9959349593495935","0.7801418439716312","0.6306306306306306","0.85","5","119","159","0.7247308938703296","0.2693532962624515","0.5","0.3","68","22","7","3","9.016506704748215E10","2.9106015506880844E10","87.16543842785178","0","0.9970326409495549","0.9459459459459459","0.8333333333333334","0.9495967741935484","12","58","49","0.6721175376382401","0.225516971107556","0.5038789161503474","0.15","87","9","2","2","1.0297026512717616E11","1.3834348740509308E10","93.25177817849796","0","0.9976905311778291","0.9772727272727273","0.9090909090909091","0.9797979797979798","6","15","5","0.8140899836662723","0.2536032962624515","0.5","0.25","87","7","5","1","1.1113890822530275E11","1.914273439118404E10","91.22735576442501","0","0.9976905311778291","0.9722222222222222","0.9615384615384616","0.9899396378269618","9","23","12","0.7827561576912743","0.2618532962624515","0.5","0.25","85","6","6","3","1.1772963629197504E11","2.8213137352286705E10","86.4395995439013","0","0.9976525821596244","0.967741935483871","0.967741935483871","0.97","12","31","48","0.5856611500752932","0.2513532962624515","0.5","0.25","83","9","4","4","1.2867178543525038E11","2.7028998971576042E10","88.31697887511504","0","0.9974937343358395","0.9833333333333333","0.9523809523809523","0.959758551307847","7","30","23","0.8075775692719953"
"[min]","0","0","0","5","28","13","1","1.5918598551999074E8","0","70.59655255512612","0","0","0","0.07653061224489796","0.04","0","0","0","0","0","0","0","5","22","3","3","1.9479363049546864E9","0","87.16543842785178","0","0.7540106951871658","0.9051724137931034","0.8064516129032258","0.8064516129032258","0","0","0","0","0","0","0","5","9","2","2","1.0692738773320663E10","0","93.25177817849794","0","0.9615384615384616","0.9772727272727273","0.9090909090909091","0.797979797979798","0","0","0","0","0","0","0","5","7","5","1","2.0857194352774303E10","0","91.227355764425","0","0.9615384615384616","0.9722222222222222","0.9615384615384616","0.7987927565392354","0","0","0","0","0","0","0","5","6","5","3","3.1434018141880463E10","0","86.43959954390128","0","0.9615384615384616","0.967741935483871","0.9615384615384616","0.8","0","0","0","0","0","0","0","5","6","3","4","4.118139581159417E10","0","88.31697887511504","0","0.9615384615384616","0.967741935483871","0.9375","0.7987927565392354","0","0","0","0"
"[max]","0.5012920287477755","0.6302654527341929","0.84","51","62","42","20","7.089340969291159E10","7.010111490224783E10","100","0.198","0.99609375","0.9967845659163987","0.9933774834437086","0.98","5","119","159","0.7247308938703296","0.4676071656142976","0.5731896312675928","0.84","71","54","25","20","9.118179704748216E10","2.910601550688085E10","100","0","0.9971590909090909","0.9962825278810409","0.9920634920634921","0.969758064516129","12","58","49","0.6721175376382401","0.4658149919236692","0.5747718487711827","0.86","87","60","25","20","1.0410727262717612E11","1.3834348740509312E10","100","0","0.9976905311778291","0.9966216216216216","0.992","0.9797979797979798","6","15","5","0.8140899836662723","0.47664147793099637","0.5780969500115969","0.82","87","57","25","20","1.122766657253027E11","1.9142734391184044E10","100","0","0.9976905311778291","0.9964664310954063","0.992","0.9899396378269618","9","23","12","0.7827561576912743","0.48996005579671953","0.5924922095640069","0.83","85","50","25","20","1.1884079879197502E11","2.8213137352286713E10","100","0","0.9976525821596244","0.9960159362549801","0.9920634920634921","0.97","12","31","48","0.5856611500752932","0.4968325160951427","0.6354004105587505","0.84","87","50","25","20","1.297565854352504E11","2.7028998971576046E10","100","0","0.9976905311778291","0.996","0.9919354838709677","0.959758551307847","7","30","23","0.8075775692719953"
"[mean]","0.37957181669475565","0.5157367032546476","0.5411111111111112","30.617283950617285","39.925925925925924","26.839506172839506","2.617283950617284","2.2527352967867695E10","5.3074293142088425E10","77.1120244685674","0.019456790123456795","0.8585990384980196","0.7766347585974465","0.7462356795559963","0.8004938271604939","2.9876543209876543","78.51851851851852","102.12345679012346","0.4563120442887261","0.32938909069871475","0.490470670068766","0.4223456790123453","57.19753086419753","30.135802469135804","8.567901234567902","4.098765432098766","3.1145076416293262E10","2.2736409372240555E10","89.69875129900565","0","0.9900365090857872","0.9698622285600537","0.9536046402471474","0.9485264834727204","7.481481481481482","37.370370370370374","26.012345679012345","0.4231851162907438","0.2984624730977896","0.4910856484360528","0.3664197530864199","80.69135802469135","12.54320987654321","3.5308641975308643","3.234567901234568","4.117119024986336E10","1.243305880524474E10","93.70049962061948","0","0.9964229993800513","0.9799998220265682","0.9261799612967752","0.9650829280458906","5.54320987654321","13.604938271604938","4.580246913580247","0.5125751749009859","0.32441387580290665","0.4921582253543438","0.4002469135802468","79.19753086419753","11.91358024691358","7.049382716049383","1.8395061728395061","5.06769131572523E10","1.7110675572325817E10","91.8968954103826","0","0.9963184597238136","0.9778658787569559","0.9669597694937623","0.9791340636411072","8.185185185185185","18.753086419753085","10.925925925925926","0.492846469657469","0.3290275228900606","0.4967963082374496","0.38234567901234606","72.64197530864197","13.098765432098766","10.308641975308642","3.950617283950617","6.00335082272694E10","2.3630191541655525E10","88.12303044136755","0","0.9959164509004311","0.9767769420266812","0.9780551301246037","0.9583950617283943","9.160493827160494","25.02469135802469","32.72839506172839","0.36874961301036957","0.33207204488769737","0.5181792827974736","0.41716049382716075","76.88888888888889","10.82716049382716","7.246913580246914","5.037037037037037","7.0063796224739E10","2.4348059609911972E10","89.24076532875445","0","0.9962208464500266","0.9745140123237062","0.9660368725914247","0.9473383510942198","5.518518518518518","21.666666666666668","18.790123456790123","0.5084747658379234"
"[steps]","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"

"[all run data]","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score","mean [threat-appraisals] of farmers","mean [t-epidemical-evidence] of farmers","count farmers with [looking-for-alternatives-tools = True] / count farmers","count farmers with [alternatives1_i = 1]","count farmers with [alternatives1_i = 2]","count farmers with [alternatives1_i = 3]","count farmers with [alternatives1_i = 0]","sum [capital_assets] of farmers","sum [t-perceived-economical-lossess] of farmers","mean [crops-condition] of patches with [land_type = ""agriculture""]","(count patches with [land_type = ""agriculture"" and crops-ability-to-produce = 2]) /( count patches with [land_type = ""agriculture""])","count patches with [land_type = ""agriculture"" and mitigation-used = 1 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 1 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 2 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 2 ] + 1)","count patches with [land_type = ""agriculture"" and mitigation-used = 3 and functionality = 1] / (count patches with [land_type = ""agriculture"" and mitigation-used = 3 ] + 1)","count patches with [land_type = ""agriculture"" and functionality = 1] / count patches with [land_type = ""agriculture"" ]","cum-damaged-crops-given-mit_1","cum-damaged-crops-given-mit_2","cum-damaged-crops-given-mit_3","final_rmse_score"
,"0","0","0","5","50","25","20","4.816530947282988E9","0","100","0","0.9615384615384616","0.9960159362549801","0.9920634920634921","0.8","0","0","0","0","0","0","0","5","50","25","20","9.815724534277533E9","0","100","0","0.9615384615384616","0.9960159362549801","0.9920634920634921","0.8064516129032258","0","0","0","0","0","0","0","5","50","25","20","1.979523343749331E10","0","100","0","0.9615384615384616","0.9959514170040485","0.992","0.797979797979798","0","0","0","0","0","0","0","5","50","25","20","2.980742788505826E10","0","100","0","0.9615384615384616","0.9959839357429718","0.992","0.7987927565392354","0","0","0","0","0","0","0","5","50","25","20","3.9809354972759026E10","0","100","0","0.9615384615384616","0.9960159362549801","0.9920634920634921","0.8","0","0","0","0","0","0","0","5","50","25","20","4.98104090407324E10","0","100","0","0.9615384615384616","0.996","0.9919354838709677","0.7987927565392354","0","0","0","0"
